name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
17960,2013-02-01,28.8,21.0,26.4,21.3,7.7,15.4,8.5,47.0,0.0,0,0.0,,0.0,0.0,35.3,25.0,283.3,1016.0,55.3,10.0,103.1,8.8,4.0,,2013-02-01T07:13:35,2013-02-01T17:21:51,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-02,24.1,15.4,20.7,24.1,7.2,14.3,10.4,65.4,0.049,100,29.17,snow,0.3,0.1,17.9,14.0,236.1,1023.4,53.6,6.9,94.1,8.0,4.0,,2013-02-02T07:12:36,2013-02-02T17:23:05,0.73,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-03,29.0,18.2,24.7,29.0,14.9,23.0,19.6,81.3,0.005,100,4.17,snow,0.5,0.7,21.5,18.1,283.2,1012.8,82.3,6.3,70.1,6.1,3.0,,2013-02-03T07:11:35,2013-02-03T17:24:20,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-04,29.8,20.8,25.5,28.2,9.6,17.1,11.0,54.1,0.0,0,0.0,,0.0,0.7,26.0,19.3,274.0,1015.1,42.9,9.9,94.9,8.2,5.0,,2013-02-04T07:10:32,2013-02-04T17:25:34,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-05,32.8,26.3,29.7,32.6,22.4,27.7,24.1,79.5,0.011,100,8.33,"rain,snow",0.0,0.6,,4.9,21.4,1013.2,98.2,6.5,72.7,6.2,3.0,,2013-02-05T07:09:28,2013-02-05T17:26:48,0.84,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-06,38.5,24.9,31.7,31.2,21.6,27.2,22.4,70.0,0.0,0,0.0,,0.0,0.5,20.9,13.4,287.6,1020.6,60.3,7.5,127.8,11.1,5.0,,2013-02-06T07:08:22,2013-02-06T17:28:02,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-07,34.7,21.5,28.6,31.2,21.5,25.6,15.3,58.5,0.0,0,0.0,,0.0,0.3,17.2,9.0,102.1,1029.7,44.4,9.8,55.7,4.8,2.0,,2013-02-07T07:07:15,2013-02-07T17:29:17,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-08,35.3,31.5,33.5,32.0,25.2,27.5,28.9,83.4,0.197,100,45.83,"rain,snow",1.2,0.7,20.8,11.3,22.3,1014.4,100.0,7.0,26.1,2.1,1.0,,2013-02-08T07:06:06,2013-02-08T17:30:30,0.94,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-09,33.1,21.1,27.3,24.7,11.1,16.3,15.8,62.3,0.027,100,12.5,"rain,snow",1.4,2.5,35.1,23.6,317.1,1020.8,43.5,9.4,167.3,14.6,6.0,,2013-02-09T07:04:55,2013-02-09T17:31:44,0.98,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,snow,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-10,39.7,13.2,27.6,39.7,11.6,25.7,11.8,53.4,0.0,0,0.0,,0.0,2.3,,6.7,89.6,1029.7,0.0,9.9,152.3,13.1,6.0,,2013-02-10T07:03:44,2013-02-10T17:32:58,0.0,Clear,Clear conditions throughout the day.,clear-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-11,41.6,33.1,36.8,41.6,26.9,34.2,33.4,88.4,0.287,100,25.0,"rain,snow",0.0,1.3,18.3,12.4,194.7,1013.9,86.5,3.3,36.8,3.2,2.0,,2013-02-11T07:02:31,2013-02-11T17:34:11,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-12,43.7,30.3,39.0,35.6,28.7,32.9,24.5,56.0,0.0,0,0.0,,0.0,0.5,32.5,19.8,290.9,1013.1,54.1,10.0,167.3,14.4,6.0,,2013-02-12T07:01:16,2013-02-12T17:35:24,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-13,42.1,23.6,33.4,42.1,23.6,32.5,25.6,74.7,0.088,100,20.83,"rain,snow",0.2,0.4,,5.8,62.1,1010.4,35.0,7.9,152.9,13.2,6.0,,2013-02-13T07:00:00,2013-02-13T17:36:37,0.11,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,snow,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-14,44.3,32.9,36.8,44.3,27.5,33.7,28.4,73.0,0.003,100,4.17,"rain,snow",0.2,0.6,,8.7,270.7,1013.4,41.8,7.7,169.3,14.6,6.0,,2013-02-14T06:58:43,2013-02-14T17:37:50,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-15,52.7,30.0,40.6,52.7,30.0,38.9,29.0,65.7,0.118,100,12.5,"rain,snow",0.0,0.3,20.8,13.6,285.4,1015.3,45.0,8.5,161.7,13.9,6.0,,2013-02-15T06:57:25,2013-02-15T17:39:03,0.17,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-16,35.5,29.8,33.0,33.9,21.2,28.6,24.6,72.9,0.045,100,12.5,"rain,snow",0.0,0.3,19.5,12.0,344.0,1013.7,75.7,7.5,61.3,5.2,2.0,,2013-02-16T06:56:06,2013-02-16T17:40:15,0.21,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-17,29.9,20.3,26.0,18.1,4.3,13.4,7.0,44.2,0.0,0,0.0,,0.0,0.2,38.0,27.0,314.0,1012.0,53.7,9.6,124.0,10.7,4.0,,2013-02-17T06:54:45,2013-02-17T17:41:27,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72517014737,72510314712,KRDG,KXLL"
17960,2013-02-18,35.1,17.3,26.2,29.9,3.4,17.4,7.4,45.0,0.0,0,0.0,,0.0,0.2,33.3,19.4,283.3,1023.9,7.0,9.9,187.5,16.0,7.0,,2013-02-18T06:53:24,2013-02-18T17:42:38,0.27,Clear,Clear conditions throughout the day.,clear-day,"72517014737,72510314712,KRDG,KXLL"
